"PointID","x","y","z","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Momentum_z","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
6760, 9.807415133689604e-02, -5.000000000000000e-01, 1.427731085974071e-01, 1.927778121831970e-03, -7.502083730840861e-03, 2.736741287165445e-03, 6.280413350744473e-04, 1.955155210097143e-03, 1.205810496635669e-03, -5.593616922208824e-03, -2.519516861643363e-04, -5.593616922208824e-03
6761, 9.407312750749816e-02, -5.000000000000000e-01, 9.957844178092685e-02, 8.092295329664497e-04, -3.156977971271306e-03, 2.010913562836976e-03, 2.999093219682779e-04, 1.311358640144560e-03, 2.014186005512722e-04, -9.193033568284256e-03, -5.949984307827057e-05, -9.193033568284256e-03
6762, 1.150727529916741e-01, -5.000000000000000e-01, 7.214296343368563e-02, 2.376612879337522e-04, -8.475255983516175e-04, 1.484985168542349e-03, 1.632200608081076e-04, 9.177067876975217e-04, -2.199107948194771e-04, -6.922348330701694e-03, 3.891639329492493e-05, -6.922348330701694e-03
6763, 1.055524412242637e-01, -5.000000000000000e-01, 1.110994151799789e+00, 1.683710307155039e-03, -6.606358817520761e-03, 2.992925147154980e-03, -1.689046624827755e-03, 1.769175866934512e-03, 4.821148037118081e-04, -1.329291176489805e-03, -1.957662888045130e-04, -1.329291176489805e-03
6764, 1.251823376591333e-01, -5.000000000000000e-01, 1.065377802168369e+00, 6.449315215766356e-04, -2.561184107586508e-03, 3.922516613047935e-03, -5.890616367137268e-04, 1.919056516485423e-03, -3.206103983628004e-04, -4.987759973757544e-03, -2.912916053786297e-04, -4.987759973757544e-03
6765, 2.832546416749817e-01, -5.000000000000000e-01, 8.695848740468586e-01, 4.003049195736334e-04, 7.254183335846386e-04, 4.266569263946539e-03, -5.039034732461168e-04, 2.231862061363881e-03, -1.312161297876213e-04, -1.059848981096379e-02, -3.754165125048874e-04, -1.059848981096379e-02
6766, 2.760623848653500e-01, -5.000000000000000e-01, 9.265211158563540e-01, 3.955703052208940e-04, 3.528802664352642e-04, 3.075522761283158e-03, -4.899653880363877e-04, 1.827728632618658e-03, -7.263299048990413e-05, -7.755884509500094e-03, -1.593578436042582e-04, -7.755884509500094e-03
6767, 3.378536596101963e-01, -5.000000000000000e-01, 8.960226120893751e-01, -1.678224592303506e-04, 4.230047153431352e-03, 1.984629385086288e-03, -3.450041137452751e-04, 7.820090896137708e-04, -5.062805613186487e-04, -1.195314124695769e-02, 4.426802530084451e-05, -1.195314124695769e-02
6768, 4.016975768927397e-01, -5.000000000000000e-01, 1.106956087324678e+00, 5.640034007477879e-05, 2.976203541161953e-03, 2.025025705925179e-03, -7.981875345716951e-04, 6.474158509652438e-04, -2.296376936264911e-04, -7.311635992153105e-03, 1.125076654691989e-04, -7.311635992153106e-03
6769, 4.046350826281881e-01, -5.000000000000000e-01, 1.150509955784959e+00, -1.348132904692262e-04, 1.569969290169216e-03, 7.743451782850622e-04, -2.486230105492227e-04, 1.962038043957296e-04, -1.889930663295463e-04, -6.741130458609288e-03, 5.479445140085218e-05, -6.741130458609288e-03
6770, 3.859773690019779e-01, -5.000000000000000e-01, 1.178070642072574e+00, -4.708925925366317e-05, 7.804495030089278e-04, 4.110433402115265e-04, -4.013733989965935e-04, 2.143913102841357e-04, 5.076260813698005e-05, -3.907876130581263e-04, -2.198078111756777e-05, -3.907876130581263e-04
6771, 3.316586953445873e-01, -5.000000000000000e-01, 9.512409191928330e-01, 1.270702765471766e-04, 1.951862506888570e-03, 3.509083367378769e-03, -1.152200150263387e-03, 1.456022619719420e-03, 1.008652028195706e-04, -9.386345809853400e-03, -1.570118147700998e-04, -9.386345809853402e-03
6772, 3.324377039391607e-01, -5.000000000000000e-01, 8.161533459512840e-01, -1.610970200166846e-05, 2.499706200760911e-03, 3.233125267935352e-03, -4.594432856595197e-04, 1.525700313481683e-03, 2.377951323754038e-05, -1.052244665061981e-02, -3.543142915623419e-04, -1.052244665061981e-02
6773, 3.473886841683290e-01, -5.000000000000000e-01, 8.528740870766747e-01, -2.232508431440307e-04, 2.924595603254707e-03, 1.803561653196490e-03, -6.795498564566996e-04, 5.943778810533095e-04, -3.049558750518948e-04, -9.426841735448912e-03, -7.971352929012846e-05, -9.426841735448912e-03
6774, 3.046369417471638e-01, -5.000000000000000e-01, 7.199002011057216e-01, 7.776332695497455e-06, 2.759112965846516e-03, 3.020506590482936e-03, -2.521084870483932e-04, 1.525294790329227e-03, -1.969702332540836e-05, -8.175884681705688e-03, -1.789156069622760e-04, -8.175884681705688e-03
6775, 2.153537892064646e-01, -5.000000000000000e-01, 6.699726638142458e-01, 5.002969079100476e-04, -1.360611098024893e-03, 5.034007669154774e-03, -6.668643435211630e-05, 2.754681483597595e-03, -2.318552005196066e-05, -1.193074014837626e-02, -2.065868402558041e-04, -1.193074014837626e-02
6776, 3.223611035943024e-01, -5.000000000000000e-01, 4.809847718428649e-01, -1.381523205851751e-04, 2.816719008266204e-03, 2.839556797628488e-03, 7.460931452223495e-04, 1.273533024783291e-03, 5.916992583540793e-05, -1.196645330066819e-02, 2.090836110905645e-04, -1.196645330066819e-02
6777, 3.739849977487827e-01, -5.000000000000000e-01, 1.851084403046416e-01, -2.364675652068412e-05, 2.940414222300238e-03, 1.307219483072811e-03, 1.125371002225152e-03, 3.718609031851015e-04, 1.316848736886090e-04, -7.344471773205509e-03, 1.716082687654571e-04, -7.344471773205509e-03
6778, 3.375293286460063e-01, -5.000000000000000e-01, 1.429533027942278e-01, 3.880749934300882e-04, 2.305613550474859e-03, 4.296190956594481e-04, 1.671937921855454e-03, 9.950562703605085e-05, 8.012587694957926e-05, -1.437292567269878e-02, 1.500965081786955e-04, -1.437292567269878e-02
6779, 3.152823171476754e-01, -5.000000000000000e-01, 1.996647866557689e-01, 4.817649941933277e-04, 1.766576890042521e-03, 1.871635168920804e-03, 1.439697532746975e-03, 8.510147812539769e-04, 4.891864931046375e-05, -1.765014120363187e-02, 3.164049308584291e-04, -1.765014120363187e-02
6780, 3.694070866167509e-01, -5.000000000000000e-01, 2.256751582632986e-01, -1.009808257953182e-04, 2.260474173641862e-03, 1.410530757692524e-03, 5.659140445871639e-04, 4.452120671427617e-04, 7.011007784529811e-05, -1.038838056962064e-02, 1.555936567117137e-04, -1.038838056962064e-02
