"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5213, 5.000000000000000e-01, 5.000000000000000e-01, 1.060688837983923e+00, 7.724821551038014e-01, 3.242389241669232e-01, -2.438665942055794e-01, -3.784891992060284e-02, 1.946077930171491e+00, 7.354439430804528e-01, 9.520529868830803e-01, 4.568944913901232e-01, -4.199302490786465e+00
5214, 5.000000000000000e-01, 5.000000000000000e-01, 1.094250750687868e+00, 7.340032943673022e-01, 1.475137817159901e-01, -2.342826781808396e-01, -2.211508135550549e-02, 1.828768940483771e+00, 7.104892057019719e-01, 9.679646006417467e-01, 3.250437081046375e-01, -4.595409433302035e+00
5215, 5.000000000000000e-01, 5.000000000000000e-01, 1.125574483732148e+00, 7.893121537467194e-01, 3.134519642180092e-01, -2.277488735265003e-01, -3.208452644021486e-02, 1.987404228318377e+00, 7.566622430332571e-01, 9.586349829297840e-01, 4.251735228745492e-01, -3.862504078837190e+00
5216, 5.000000000000000e-01, 5.000000000000000e-01, 1.154674804970427e+00, 8.168267948846601e-01, 3.078674052795949e-01, -2.493729182387072e-01, -3.618324853596463e-02, 2.056512925071267e+00, 7.838507070137509e-01, 9.596290326450843e-01, 4.202088249664628e-01, -3.430941158511892e+00
5217, 5.000000000000000e-01, 5.000000000000000e-01, 1.181593955474527e+00, 7.862365865158215e-01, 2.256637898922963e-01, -2.697508260374495e-01, -1.979412716850974e-02, 1.964928329375688e+00, 7.544079413370491e-01, 9.595177256761611e-01, 3.865535644011937e-01, -3.898286645443666e+00
5218, 5.000000000000000e-01, 5.000000000000000e-01, 1.206396909390792e+00, 8.207644893258202e-01, 3.951644746678963e-01, -2.298291399448183e-01, -1.562061083366992e-02, 2.070793055255156e+00, 7.773353870419218e-01, 9.470870111357144e-01, 4.839767476353428e-01, -3.534358935842512e+00
5219, 5.000000000000000e-01, 5.000000000000000e-01, 1.229166700000000e+00, 8.513653276562472e-01, 4.566665667109604e-01, -1.930988062154586e-01, -4.099255433381365e-02, 2.146965432376780e+00, 8.006414767588655e-01, 9.404205818000353e-01, 5.092804380120722e-01, -3.164421003827532e+00
5220, 5.000000000000000e-01, 5.000000000000000e-01, 1.250000000000000e+00, 8.713759243955337e-01, 4.136426526181572e-01, -1.760590676624824e-01, -1.333464820708292e-01, 2.200970536686404e+00, 8.299212881745294e-01, 9.524262318243863e-01, 4.660215072566337e-01, -2.699662092467789e+00
5221, 4.791667000000000e-01, 5.000000000000000e-01, 1.250000000000000e+00, 8.964834322221229e-01, 4.131268154673151e-01, 2.059067703775344e-02, -6.503380523807572e-03, 2.256106016431149e+00, 8.642621057557297e-01, 9.640580904138678e-01, 3.972079402400901e-01, -2.154569749909053e+00
5222, 4.583333913043477e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.663462413747281e-01, 4.360826306489948e-01, -8.257593464537376e-03, -5.591208769674182e-03, 2.444355644204824e+00, 9.383635128650810e-01, 9.710427512297886e-01, 3.871384996661733e-01, -9.783569386495081e-01
